user_id,age,sex,education,primary_source_of_income,sum_of_monthly_installments,sum_of_monthly_expenses,country,signup_date,risk_score
U00001,56,Other,High School,Employment,477.69,243.18,Finland,2021-04-01,0.5710791250617234
U00002,36,Female,Bachelor,Business,31.6,737.76,France,2020-07-07,0.7052675184898632
U00003,70,Other,High School,Student Aid,275.72,1477.5,Finland,2022-08-23,0.42957884210975716
U00004,38,Other,High School,Savings,288.29,1135.03,Belgium,2022-05-21,0.5813840065378947
U00005,61,Male,High School,Employment,7.0,892.76,Italy,2022-03-15,0.4202273884672658
U00006,33,Male,None,Savings,79.49,113.97,Poland,2021-06-28,0.4823786747342975
U00007,68,Other,Bachelor,Student Aid,144.6,4905.86,Denmark,2021-03-05,0.6701508898253815
U00008,24,Other,None,Unemployment,56.09,80.72,Italy,2024-12-10,0.48428816775433525
U00009,21,Female,None,Retirement,855.24,994.18,Portugal,2021-01-16,0.4789672253964488
U00010,19,Male,Bachelor,Student Aid,345.83,696.11,Belgium,2023-11-22,0.49502098999001826
U00011,24,Female,Master,Business,282.48,2149.12,Italy,2020-07-28,0.4420290574153167
U00012,67,Female,High School,Employment,325.88,448.26,Belgium,2020-07-22,0.32618446371123766
U00013,23,Male,Master,Retirement,69.94,1006.36,Sweden,2021-02-06,0.17324986297644374
U00014,53,Female,High School,Student Aid,273.32,3059.32,Austria,2022-03-01,0.34341553876477476
U00015,25,Other,High School,Unemployment,253.5,882.85,Germany,2022-04-13,0.5395229060345315
U00016,41,Other,Master,Student Aid,132.37,395.76,Sweden,2024-08-08,0.7462656674021114
U00017,62,Female,None,Business,45.57,1944.58,Finland,2020-07-12,0.3984616999541062
U00018,41,Male,High School,Student Aid,4.25,266.04,Italy,2025-01-28,0.5917514433261302
U00019,25,Female,High School,Business,391.7,1770.26,Ireland,2021-12-29,0.46892511648431384
U00020,58,Male,PhD,Retirement,739.39,2276.85,Austria,2024-12-09,0.406478390752256
U00021,29,Other,Master,Business,120.55,78.8,Netherlands,2023-11-15,0.33404975389909575
U00022,52,Female,Bachelor,Student Aid,268.43,385.44,Spain,2022-03-06,0.3205690063878994
U00023,52,Other,High School,Savings,191.72,152.85,Denmark,2024-02-15,0.6459445300633682
U00024,43,Male,None,Student Aid,80.75,354.97,Italy,2022-09-02,0.6193393195843913
U00025,44,Male,PhD,Unemployment,221.9,669.38,Spain,2020-05-11,0.5130570602357257
U00026,69,Other,None,Business,248.54,1426.96,Denmark,2021-08-30,0.4551488974301199
U00027,54,Female,High School,Business,86.02,633.94,Ireland,2023-11-25,0.381611250695312
U00028,49,Male,Master,Unemployment,274.04,1424.09,Spain,2023-03-14,0.611556692565684
U00029,45,Male,Bachelor,Savings,796.49,1981.06,Finland,2022-09-01,0.6373103176553111
U00030,45,Female,Bachelor,Student Aid,73.94,646.47,Austria,2021-08-17,0.5493126664489527
U00031,28,Female,PhD,Business,117.62,156.25,Spain,2022-02-18,0.6086124877288815
U00032,18,Male,Bachelor,Student Aid,77.61,668.47,Czech Republic,2023-03-02,0.46163530445615863
U00033,69,Other,Master,Student Aid,130.42,436.23,Sweden,2021-03-04,0.5190518359057698
U00034,54,Female,None,Unemployment,353.72,376.69,Netherlands,2021-02-03,0.312583441580011
U00035,41,Male,Bachelor,Savings,858.94,468.46,Austria,2023-07-15,0.7829278851815795
U00036,66,Male,High School,Employment,20.13,351.5,France,2021-02-15,0.5261866719247759
U00037,29,Other,Bachelor,Student Aid,87.02,825.19,Belgium,2023-05-11,0.3391202248346514
U00038,34,Other,High School,Unemployment,93.09,4506.79,Belgium,2023-03-25,0.3511120730895214
U00039,45,Other,PhD,Savings,15.86,391.95,Spain,2022-07-21,0.4711458552828316
U00040,19,Other,High School,Student Aid,227.1,712.58,Finland,2020-09-02,0.5452321013500419
U00041,23,Male,None,Retirement,83.14,1338.19,Portugal,2024-03-18,0.3836995841064584
U00042,55,Other,Master,Employment,137.56,1200.6,Spain,2024-11-12,0.6159711283833873
U00043,23,Female,Bachelor,Unemployment,152.66,2034.2,Poland,2021-05-13,0.4335796482641537
U00044,23,Other,Master,Savings,357.03,2345.35,Portugal,2023-07-11,0.5567339922111278
U00045,53,Male,None,Employment,5.02,861.16,Ireland,2020-12-21,0.597363009894366
U00046,69,Other,Master,Student Aid,846.65,608.14,Czech Republic,2024-12-31,0.316568969498704
U00047,56,Other,Bachelor,Business,828.1,177.53,Netherlands,2022-10-18,0.38251200614956443
U00048,40,Male,None,Savings,233.9,1428.02,Poland,2023-05-19,0.4516907725691487
U00049,24,Other,Master,Unemployment,323.63,2039.38,Poland,2025-03-19,0.7045829786625658
U00050,19,Male,Master,Retirement,1676.1,4037.35,Italy,2021-12-09,0.8808744074403998
U00051,22,Male,Bachelor,Savings,692.03,1203.2,Germany,2020-11-23,0.3144573933682877
U00052,65,Male,PhD,Employment,562.53,2328.24,Portugal,2020-09-10,0.3019315080373586
U00053,71,Other,Bachelor,Business,454.07,1232.77,Denmark,2022-03-30,0.5339432404248312
U00054,52,Female,None,Business,139.7,3378.76,Spain,2022-10-07,0.6271102148864958
U00055,42,Other,None,Unemployment,1.52,210.38,Italy,2020-12-24,0.7798661766717134
