channel,payment_method,avg_fraud_probability,predicted_fraud_rate,actual_fraud_rate,transaction_count
online,mobile_payment,0.20927332224515674,0.5209858467545144,0.08125915080527087,4098
mobile,credit_card,0.20471306409039036,0.4934529582929195,0.08826382153249272,4124
in-store,debit_card,0.20442790044705686,0.478031212484994,0.08667466986794718,4165
online,credit_card,0.20425293685220172,0.47880239520958084,0.08287425149700599,4175
online,debit_card,0.20398641952073523,0.48833333333333334,0.085,4200
online,bank_transfer,0.20392560903061005,0.477316141356256,0.08619866284622732,4188
mobile,mobile_payment,0.20306889162629765,0.5027597792176626,0.08351331893448524,4167
mobile,debit_card,0.20161815738680727,0.48220683066634823,0.09075710532600907,4187
mobile,bank_transfer,0.20132894606047919,0.46769964243146606,0.0865315852205006,4195
in-store,credit_card,0.20118751771032067,0.4631117604090577,0.09130752373995617,4107
in-store,bank_transfer,0.19988295997062966,0.44965319301602485,0.08801722076058359,4181
in-store,mobile_payment,0.19940851817447772,0.46237835271777833,0.07809162117256112,4213
